detector_name,shape_name,param_name,param_value,keypoint_count,spatial_coverage,response_mean,response_std,response_max,repeatability,runtime_s,error
sift_voxel_pc,cone,voxel_size,0.01,54.0,0.4375,,,,0.7407407407407407,0.5823566089966334,
sift_voxel_pc,cube,voxel_size,0.01,13.0,0.171875,,,,0.15384615384615385,0.24097171799803618,
sift_voxel_pc,cuboid,voxel_size,0.01,45.0,0.390625,,,,0.5777777777777777,0.5168343749974156,
sift_voxel_pc,cylinder,voxel_size,0.01,31.0,0.34375,,,,0.41935483870967744,0.39008466400264297,
sift_voxel_pc,pyramid,voxel_size,0.01,83.0,0.484375,,,,0.5542168674698795,0.6841250369980116,
sift_voxel_pc,sphere,voxel_size,0.01,14.0,0.1875,,,,0.7142857142857143,0.44805796400032705,
sift_voxel_pc,torus,voxel_size,0.01,48.0,0.4375,,,,0.6875,0.5518161650034017,
sift_voxel_pc,cone,voxel_size,0.02,60.0,0.40625,,,,0.75,0.46659137200185796,
sift_voxel_pc,cube,voxel_size,0.02,74.0,0.453125,,,,0.7837837837837838,0.18815517300390638,
sift_voxel_pc,cuboid,voxel_size,0.02,68.0,0.53125,,,,0.47058823529411764,0.23868825899990043,
sift_voxel_pc,cylinder,voxel_size,0.02,23.0,0.265625,,,,0.6521739130434783,0.16488338499766542,
sift_voxel_pc,pyramid,voxel_size,0.02,43.0,0.375,,,,0.813953488372093,0.34757290999550605,
sift_voxel_pc,sphere,voxel_size,0.02,24.0,0.28125,,,,0.8333333333333334,0.3708585369968205,
sift_voxel_pc,torus,voxel_size,0.02,76.0,0.515625,,,,0.7368421052631579,0.6275104340020334,
sift_voxel_pc,cone,voxel_size,0.03,7.0,0.078125,,,,0.42857142857142855,0.2534124610028812,
sift_voxel_pc,cube,voxel_size,0.03,46.0,0.453125,,,,0.5217391304347826,0.2403732710008626,
sift_voxel_pc,cuboid,voxel_size,0.03,61.0,0.546875,,,,0.6229508196721312,0.2606226229981985,
sift_voxel_pc,cylinder,voxel_size,0.03,17.0,0.203125,,,,0.7647058823529411,0.1923861199975363,
sift_voxel_pc,pyramid,voxel_size,0.03,16.0,0.203125,,,,0.125,0.22177182299492415,
sift_voxel_pc,sphere,voxel_size,0.03,30.0,0.296875,,,,0.7,0.2984854560054373,
sift_voxel_pc,torus,voxel_size,0.03,46.0,0.40625,,,,0.5217391304347826,0.41126274700218346,
sift_voxel_pc,cone,voxel_size,0.05,7.0,0.09375,,,,0.7142857142857143,0.08906351899349829,
sift_voxel_pc,cube,voxel_size,0.05,2.0,0.03125,,,,0.5,0.1545342309982516,
sift_voxel_pc,cuboid,voxel_size,0.05,25.0,0.390625,,,,0.72,0.17539953400410013,
sift_voxel_pc,cylinder,voxel_size,0.05,18.0,0.265625,,,,0.7777777777777778,0.1424522529996466,
sift_voxel_pc,pyramid,voxel_size,0.05,9.0,0.125,,,,0.0,0.09223638300318271,
sift_voxel_pc,sphere,voxel_size,0.05,27.0,0.328125,,,,0.5555555555555556,0.15960616399388527,
sift_voxel_pc,torus,voxel_size,0.05,3.0,0.046875,,,,0.6666666666666666,0.09376827900268836,
sift_voxel_pc,cone,voxel_size,0.08,0.0,0.0,,,,,0.016530266002519056,
sift_voxel_pc,cube,voxel_size,0.08,8.0,0.125,,,,0.625,0.04291948700119974,
sift_voxel_pc,cuboid,voxel_size,0.08,8.0,0.125,,,,0.75,0.040296976003446616,
sift_voxel_pc,cylinder,voxel_size,0.08,6.0,0.078125,,,,0.3333333333333333,0.03185462699912023,
sift_voxel_pc,pyramid,voxel_size,0.08,1.0,0.015625,,,,1.0,0.01909640500525711,
sift_voxel_pc,sphere,voxel_size,0.08,1.0,0.015625,,,,0.0,0.03080030200362671,
sift_voxel_pc,torus,voxel_size,0.08,2.0,0.03125,,,,0.0,0.0079839419995551,
sift_voxel_pc,cone,voxel_size,0.12,1.0,0.015625,,,,0.0,0.01013571100338595,
sift_voxel_pc,cube,voxel_size,0.12,1.0,0.015625,,,,1.0,0.010030819001258351,
sift_voxel_pc,cuboid,voxel_size,0.12,1.0,0.015625,,,,1.0,0.00918862300022738,
sift_voxel_pc,cylinder,voxel_size,0.12,1.0,0.015625,,,,1.0,0.006830534999608062,
sift_voxel_pc,pyramid,voxel_size,0.12,0.0,0.0,,,,,0.006784766002965625,
sift_voxel_pc,sphere,voxel_size,0.12,0.0,0.0,,,,,0.0033591009996598586,
sift_voxel_pc,torus,voxel_size,0.12,0.0,0.0,,,,,0.002097336000588257,
sift_voxel_pc,cone,voxel_size,0.15,0.0,0.0,,,,,0.0010655379956006072,
sift_voxel_pc,cube,voxel_size,0.15,0.0,0.0,,,,,0.0010415840006317012,
sift_voxel_pc,cuboid,voxel_size,0.15,0.0,0.0,,,,,0.0010496359973330982,
sift_voxel_pc,cylinder,voxel_size,0.15,0.0,0.0,,,,,0.0010686989990063012,
sift_voxel_pc,pyramid,voxel_size,0.15,0.0,0.0,,,,,0.0011589109999476932,
sift_voxel_pc,sphere,voxel_size,0.15,0.0,0.0,,,,,0.0010700229977373965,
sift_voxel_pc,torus,voxel_size,0.15,0.0,0.0,,,,,0.0010625819995766506,
